Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.52,10.67,10.01,10.15,103100,10.15
2015-08-06,11.02,11.28,10.322,10.56,286700,10.56
2015-08-05,11.10,11.50,10.80,11.03,211200,11.03
2015-08-04,11.50,11.568,10.95,11.01,233900,11.01
2015-08-03,10.68,12.20,10.65,11.57,987800,11.57
2015-07-31,10.25,11.375,10.25,10.64,573700,10.64
2015-07-30,10.55,10.59,10.16,10.22,116600,10.22
2015-07-29,11.05,11.05,10.46,10.56,142300,10.56
2015-07-28,10.82,11.23,10.50,11.12,118600,11.12
2015-07-27,10.66,10.87,10.50,10.81,59300,10.81
2015-07-24,10.90,11.13,10.75,10.75,111200,10.75
2015-07-23,11.34,11.45,10.866,10.95,79300,10.95
2015-07-22,11.37,11.38,11.00,11.29,71000,11.29
2015-07-21,11.28,11.51,11.12,11.47,90400,11.47
2015-07-20,11.78,11.87,11.12,11.26,121400,11.26
2015-07-17,11.78,11.90,11.58,11.85,229500,11.85
2015-07-16,11.20,11.84,11.02,11.81,399800,11.81
2015-07-15,11.09,11.25,10.98,11.20,110200,11.20
2015-07-14,10.70,11.10,10.52,11.04,161400,11.04
2015-07-13,11.20,11.27,10.73,10.78,177000,10.78
2015-07-10,11.07,11.235,10.90,11.18,212100,11.18
2015-07-09,10.74,11.10,10.70,10.96,119100,10.96
2015-07-08,10.76,10.795,10.371,10.63,173600,10.63
2015-07-07,10.98,11.04,10.52,10.86,206600,10.86
2015-07-06,10.50,11.30,10.40,10.98,196700,10.98
2015-07-02,10.70,10.70,10.38,10.50,88300,10.50
2015-07-01,10.35,10.76,10.258,10.66,223300,10.66
2015-06-30,10.50,10.64,10.05,10.25,270000,10.25
2015-06-29,11.48,11.48,10.33,10.51,507900,10.51
2015-06-26,11.74,11.85,11.30,11.30,2408800,11.30
2015-06-25,11.80,11.93,11.63,11.78,178600,11.78
2015-06-24,11.73,11.95,11.62,11.76,159900,11.76
2015-06-23,12.00,12.00,11.42,11.65,146400,11.65
2015-06-22,11.79,12.20,11.79,11.99,184000,11.99
2015-06-19,11.75,11.98,11.60,11.75,656300,11.75
2015-06-18,11.73,12.00,11.57,11.79,394500,11.79
2015-06-17,11.79,11.79,11.35,11.72,406100,11.72
2015-06-16,12.00,12.37,11.70,11.74,211600,11.74
2015-06-15,11.39,12.00,11.38,11.96,264200,11.96
2015-06-12,11.70,11.79,11.26,11.40,103400,11.40
2015-06-11,12.15,12.15,11.55,11.79,170800,11.79
2015-06-10,12.00,12.165,11.81,12.09,238800,12.09
2015-06-09,11.90,12.04,11.61,12.00,155100,12.00
2015-06-08,12.00,12.00,11.62,11.90,149800,11.90
2015-06-05,12.55,12.83,11.85,11.95,252400,11.95
2015-06-04,12.89,12.90,12.40,12.56,155100,12.56
2015-06-03,13.15,13.15,12.30,12.84,219500,12.84
2015-06-02,12.90,13.30,12.76,13.20,470000,13.20
2015-06-01,12.78,13.20,12.49,12.98,243000,12.98
2015-05-29,12.78,12.93,12.40,12.49,167000,12.49
2015-05-28,13.62,13.79,12.50,12.80,292800,12.80
2015-05-27,12.68,14.00,12.68,13.57,388500,13.57
2015-05-26,11.84,12.63,11.791,12.59,245600,12.59
2015-05-22,11.64,11.90,11.40,11.87,75600,11.87
2015-05-21,11.45,11.79,10.95,11.60,426900,11.60
2015-05-20,11.35,11.55,11.271,11.35,132600,11.35
2015-05-19,11.30,11.66,11.15,11.30,200400,11.30
2015-05-18,11.37,11.50,11.25,11.36,135400,11.36
2015-05-15,11.46,11.50,11.06,11.41,317600,11.41
2015-05-14,11.30,11.46,11.04,11.32,169000,11.32
